uzytkownik,budzet,cel,czestotliwosc,teren,doswiadczenie,pogoda,dystans,rower
kobieta,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,dobra,50,Rower MTB MARIN Bobcat Trail 4 29
kobieta,1000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,50,Rower MTB R-RAYMON Nayta Pro
kobieta,2000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,każda,30,Rower trekkingowy KROSS Trans 5.0 Cues
kobieta,10000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,10,Rower MTB SUPERIOR XC 889
mężczyzna,7000,sport,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,20,Rower składak DAHON Mariner D8
mężczyzna,7000,dojazdy,kilka razy w tygodniu,miasto,początkujący,każda,5,Rower składak DAHON Mariner D8
kobieta,2000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower MTB ROCK MACHINE Torrent 60-29
kobieta,7000,dojazdy,raz w tygodniu,góry,początkujący,słoneczna,20,Rower trekkingowy ROMET Wagant 5 CS
kobieta,5000,sport,codziennie,teren mieszany,początkujący,każda,5,Rower MTB damski LIV Tempt 1-GE
mężczyzna,3000,dojazdy,kilka razy w tygodniu,góry,początkujący,każda,10,Rower trekkingowy KROSS Explorer 5.0
mężczyzna,1000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower MTB NS BIKES Eccentric Lite 2
kobieta,5000,sport,codziennie,ścieżki rowerowe,początkujący,deszczowa,20,Rower gravel MARIN Gestalt
mężczyzna,10000,dojazdy,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,50,Rower MTB GIANT Talon 0 27.5
mężczyzna,4000,rekreacja,raz w tygodniu,góry,średniozaawansowany,słoneczna,20,Rower trekkingowy ROMET Wagant 5 CS
mężczyzna,3000,rekreacja,kilka razy w tygodniu,miasto,początkujący,deszczowa,50,Rower MTB MARIN San Quentin 1 29
mężczyzna,4000,turystyka,raz w tygodniu,miasto,początkujący,dobra,30,Rower gravel KROSS Esker 4.0 MS
mężczyzna,2000,sport,raz w tygodniu,góry,początkujący,deszczowa,10,Rower trekkingowy KALKHOFF Entice 18 Alivio
mężczyzna,10000,dojazdy,raz w tygodniu,góry,zaawansowany,dobra,5,Rower szosowy LAPIERRE Sensium 3.0 Disc
kobieta,10000,turystyka,raz w tygodniu,miasto,początkujący,dobra,30,Rower MTB damski SUPERIOR XC 889 W
kobieta,7000,dojazdy,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,20,Rower trekkingowy damski KROSS Explorer 5.0
mężczyzna,2000,sport,codziennie,miasto,zaawansowany,każda,30,Rower MTB SUPERIOR XC 899
mężczyzna,3000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,20,Rower MTB SUPERIOR XC 899
kobieta,5000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,dobra,50,Rower MTB damski SUPERIOR XC 889 W
kobieta,4000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,dobra,30,Rower trekkingowy KALKHOFF Entice Lite
kobieta,10000,sport,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,50,Rower trekkingowy damski ROMET Gazela 6 CS
kobieta,5000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,dobra,5,Rower MTB damski LIV Tempt 0
mężczyzna,2000,dojazdy,raz w tygodniu,teren mieszany,zaawansowany,deszczowa,20,Rower gravel KELLYS Soot 20
mężczyzna,4000,sport,raz w tygodniu,teren mieszany,średniozaawansowany,słoneczna,20,Rower trekkingowy ROMET Wagant 6 CS
kobieta,1000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,5,Rower gravel KROSS Esker 2.0 gen.2
mężczyzna,4000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,dobra,5,Rower gravel KROSS Esker 2.0 gen.2
kobieta,4000,rekreacja,codziennie,miasto,średniozaawansowany,dobra,50,Rower szosowy SENSA Romagna SLE
mężczyzna,2000,turystyka,raz w tygodniu,miasto,początkujący,dobra,20,Rower szosowy KROSS Vento DSC 4.0
kobieta,10000,dojazdy,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,10,Rower gravel KROSS Esker 4.0
kobieta,10000,dojazdy,codziennie,góry,zaawansowany,dobra,50,Rower szosowy KROSS Vento DSC 4.0
kobieta,10000,sport,kilka razy w tygodniu,teren mieszany,początkujący,każda,20,Rower szosowy SENSA Romagna Comp
kobieta,3000,rekreacja,codziennie,teren mieszany,średniozaawansowany,słoneczna,50,Rower MTB SUPERIOR XP 909
mężczyzna,10000,turystyka,codziennie,teren mieszany,średniozaawansowany,słoneczna,5,Rower MTB SUPERIOR XP 909
mężczyzna,4000,sport,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,30,Rower MTB KROSS Level 7.0 PP
mężczyzna,10000,rekreacja,codziennie,góry,początkujący,deszczowa,20,Rower MTB GHOST Kato Universal
mężczyzna,10000,dojazdy,kilka razy w tygodniu,góry,średniozaawansowany,każda,10,Rower MTB GHOST Kato Universal
mężczyzna,3000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,20,Rower miejski MARIN Larkspur 2
kobieta,1500,sport,codziennie,góry,początkujący,dobra,10,Rower trekkingowy KALKHOFF Endeavour 18
mężczyzna,1500,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,30,Rower gravel OCTANE ONE Flapjack
kobieta,7000,rekreacja,raz w tygodniu,miasto,początkujący,dobra,10,Rower MTB damski KROSS Level 6.0 Sram
mężczyzna,7000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,dobra,10,Rower trekkingowy KALKHOFF Endeavour 18
kobieta,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,dobra,30,Rower trekkingowy damski KROSS Trans 7.0 Cues
mężczyzna,7000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,20,Rower MTB R-RAYMON HardRay Nine 6.0
mężczyzna,1500,sport,raz w tygodniu,teren mieszany,zaawansowany,dobra,20,Rower trekkingowy KROSS Trans 7.0 Cues
mężczyzna,5000,turystyka,codziennie,góry,średniozaawansowany,słoneczna,10,Rower MTB MARIN Bobcat Trail 5 29
kobieta,10000,turystyka,raz w tygodniu,góry,początkujący,dobra,20,Rower MTB SUPERIOR XP 919
mężczyzna,3000,rekreacja,codziennie,miasto,początkujący,każda,30,Rower trekkingowy KALKHOFF Endeavour 30
kobieta,2000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,5,Rower szosowy FELT VR 40
kobieta,3000,sport,codziennie,ścieżki rowerowe,zaawansowany,każda,30,Rower MTB damski LIV Lurra 2 29 Cues
mężczyzna,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,50,Rower MTB SENSA Merano Evo SLE
kobieta,10000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,50,Rower MTB KROSS Level 6.0 Sram
mężczyzna,3000,sport,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,20,Rower MTB R-RAYMON HardRay Nine 6.5
mężczyzna,10000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,każda,50,Rower MTB SUPERIOR XC 6.7
kobieta,1000,dojazdy,codziennie,teren mieszany,początkujący,deszczowa,10,Rower gravel OCTANE ONE GRD FLAT
kobieta,2000,dojazdy,raz w tygodniu,miasto,początkujący,deszczowa,50,Rower szosowy SENSA Romagna Disc Tiagra
mężczyzna,1000,rekreacja,raz w tygodniu,ścieżki rowerowe,początkujący,każda,30,Rower gravel MARIN Four Corners 1
mężczyzna,3000,turystyka,raz w tygodniu,góry,średniozaawansowany,dobra,20,Rower szosowy SUPERIOR X-ROAD Comp
kobieta,3000,sport,raz w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower MTB R-RAYMON Nayta Ultra
mężczyzna,10000,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,30,Rower gravel KROSS Esker 4.0 GRX
kobieta,2000,dojazdy,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,30,Rower gravel KROSS Esker 4.0 GRX
mężczyzna,5000,sport,kilka razy w tygodniu,góry,średniozaawansowany,słoneczna,10,Rower MTB SUPERIOR XP 919
mężczyzna,4000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,deszczowa,50,Rower MTB SUPERIOR XP 919
kobieta,3000,dojazdy,codziennie,teren mieszany,zaawansowany,słoneczna,30,Rower MTB damski LIV Lurra 2 27.5
mężczyzna,7000,sport,codziennie,góry,początkujący,deszczowa,30,Rower MTB SUPERIOR XP 919
kobieta,5000,sport,raz w tygodniu,góry,początkujący,słoneczna,10,Rower MTB damski LIV Lurra 2 29
mężczyzna,3000,sport,raz w tygodniu,miasto,początkujący,każda,5,Rower MTB SUPERIOR XC 6.8
kobieta,3000,turystyka,codziennie,miasto,początkujący,deszczowa,50,Rower szosowy ORBEA Avant H40
kobieta,10000,turystyka,raz w tygodniu,teren mieszany,początkujący,dobra,5,Rower gravel ROMET Boreas 2
mężczyzna,3000,rekreacja,codziennie,ścieżki rowerowe,średniozaawansowany,każda,20,Rower gravel ROMET Boreas 2 wersja A
mężczyzna,1000,rekreacja,codziennie,góry,zaawansowany,każda,30,Rower gravel ROMET Boreas 2 2024
kobieta,10000,dojazdy,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,50,Rower MTB KROSS Level 8.0 PP
kobieta,5000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,30,Rower gravel MARIN Gestalt 1
kobieta,1500,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,30,Rower MTB KROSS Level 8.0 PP
kobieta,7000,sport,codziennie,teren mieszany,początkujący,słoneczna,50,Rower MTB SENSA Merano Evo Race
kobieta,3000,dojazdy,codziennie,teren mieszany,początkujący,deszczowa,5,Rower MTB KELLYS Gate 30
kobieta,3000,turystyka,codziennie,góry,średniozaawansowany,słoneczna,5,Rower gravel RONDO Ruut ST2
mężczyzna,4000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,30,Rower gravel GIANT Revolt 2
kobieta,1000,rekreacja,kilka razy w tygodniu,góry,zaawansowany,każda,5,Rower gravel GIANT Revolt 2
mężczyzna,4000,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,dobra,10,Rower gravel ROMET Aspre 2
mężczyzna,7000,sport,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,5,Rower gravel KROSS Esker Flatbar
kobieta,1500,dojazdy,codziennie,miasto,zaawansowany,słoneczna,30,Rower MTB KROSS Esprit 8.0
mężczyzna,1500,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,każda,30,Rower gravel OCTANE ONE Gridd 1
mężczyzna,5000,sport,codziennie,góry,zaawansowany,słoneczna,20,Rower MTB OCTANE ONE Hooner
mężczyzna,3000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,20,Rower gravel ROMET Aspre 2
kobieta,2000,turystyka,codziennie,góry,średniozaawansowany,dobra,5,Rower MTB ORBEA Alma H10
kobieta,3000,dojazdy,raz w tygodniu,miasto,początkujący,deszczowa,30,Rower gravel SUPERIOR X-ROAD Comp GR
mężczyzna,2000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,deszczowa,50,Rower MTB NS BIKES Eccentric Lite 1
mężczyzna,1500,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,każda,10,Rower MTB GIANT XTC SLR 2
mężczyzna,4000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,każda,5,Rower gravel KROSS Esker 6.0
mężczyzna,1500,turystyka,raz w tygodniu,miasto,początkujący,każda,5,Rower MTB R-RAYMON FullRay 120 3.0 M550
kobieta,7000,turystyka,raz w tygodniu,góry,średniozaawansowany,każda,30,Rower MTB SUPERIOR XP 6.1
kobieta,7000,rekreacja,raz w tygodniu,miasto,zaawansowany,słoneczna,20,Rower gravel KROSS Esker 6.0
mężczyzna,10000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,50,Rower MTB SUPERIOR XP 6.1
kobieta,3000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,dobra,50,Rower MTB SUPERIOR XP 6.1
kobieta,1000,dojazdy,kilka razy w tygodniu,miasto,początkujący,deszczowa,30,Rower MTB damski LIV Lurra 1 27.5
kobieta,5000,dojazdy,codziennie,miasto,zaawansowany,każda,20,Rower MTB R-RAYMON HardRay 7.0
kobieta,3000,dojazdy,kilka razy w tygodniu,góry,początkujący,deszczowa,20,Rower MTB damski LIV Lurra 1 29
mężczyzna,7000,rekreacja,codziennie,góry,początkujący,każda,20,Rower MTB SUPERIOR XP 939
kobieta,3000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,10,Rower gravel RONDO MYLC AL
kobieta,4000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,20,Rower gravel KROSS Esker 5.0 GRX 1x12
mężczyzna,4000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,5,Rower MTB SUPERIOR XP 939
kobieta,1000,sport,codziennie,miasto,zaawansowany,deszczowa,10,Rower szosowy SENSA Emilia Disc 105
mężczyzna,7000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,20,Rower gravel KROSS Esker 5.0 GRX 1x12
mężczyzna,2000,rekreacja,codziennie,teren mieszany,początkujący,deszczowa,10,Rower gravel KROSS Esker 5.0 GRX 1x12
mężczyzna,1000,rekreacja,raz w tygodniu,góry,zaawansowany,każda,20,Rower MTB SUPERIOR XP 939
mężczyzna,10000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower gravel KELLYS Soot 50
kobieta,7000,turystyka,raz w tygodniu,teren mieszany,początkujący,słoneczna,30,Rower gravel KELLYS Soot 70
kobieta,7000,turystyka,codziennie,miasto,średniozaawansowany,słoneczna,50,Rower szosowy SUPERIOR X-ROAD Issue
kobieta,10000,rekreacja,codziennie,miasto,zaawansowany,deszczowa,5,Rower szosowy SENSA Romagna Disc SLE
kobieta,3000,dojazdy,raz w tygodniu,góry,zaawansowany,dobra,10,Rower gravel RONDO Ruut AL2 2X
mężczyzna,5000,dojazdy,raz w tygodniu,góry,początkujący,dobra,30,Rower gravel RONDO Ruut AL2
mężczyzna,1500,dojazdy,codziennie,miasto,zaawansowany,deszczowa,10,Rower szosowy SENSA Veneto 105 Disc
mężczyzna,7000,rekreacja,codziennie,góry,zaawansowany,słoneczna,5,Rower szosowy SENSA Romagna Disc Limited 105 2x12
kobieta,1000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,10,Rower szosowy SENSA Romagna Disc 105
kobieta,3000,dojazdy,raz w tygodniu,góry,średniozaawansowany,deszczowa,10,Rower gravel RONDO Ruut AL2
mężczyzna,3000,rekreacja,raz w tygodniu,góry,średniozaawansowany,deszczowa,10,Rower szosowy SENSA Romagna Disc SLE
kobieta,3000,sport,raz w tygodniu,góry,początkujący,słoneczna,10,Rower szosowy SENSA Firenze 105 Disc
mężczyzna,3000,sport,raz w tygodniu,miasto,początkujący,deszczowa,10,Rower MTB ROCK MACHINE Blizzard TRL 30-29
kobieta,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,deszczowa,30,Rower MTB R-RAYMON HardRay 8.0
mężczyzna,3000,rekreacja,codziennie,góry,średniozaawansowany,każda,50,Rower MTB OCTANE ONE OMG
mężczyzna,3000,dojazdy,raz w tygodniu,miasto,początkujący,dobra,30,Rower MTB SENSA Fiori Evo SLE
mężczyzna,7000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,30,Rower szosowy KROSS Vento DSC 5.0
mężczyzna,1000,dojazdy,codziennie,ścieżki rowerowe,początkujący,słoneczna,5,Rower MTB SUPERIOR XP 6.2
kobieta,1000,rekreacja,kilka razy w tygodniu,miasto,początkujący,dobra,20,Rower MTB LAPIERRE Prorace CF 5.9
kobieta,7000,dojazdy,codziennie,góry,początkujący,dobra,50,Rower szosowy KROSS Vento DSC 5.0
mężczyzna,2000,turystyka,raz w tygodniu,miasto,średniozaawansowany,każda,10,Rower gravel MARIN Gestalt 2
mężczyzna,2000,sport,codziennie,teren mieszany,średniozaawansowany,deszczowa,20,Rower MTB GIANT XTC SLR 1
mężczyzna,5000,turystyka,raz w tygodniu,góry,początkujący,każda,5,Rower MTB SUPERIOR XP 929
kobieta,1000,dojazdy,codziennie,teren mieszany,średniozaawansowany,słoneczna,5,Rower MTB SUPERIOR XP 929
mężczyzna,1000,turystyka,raz w tygodniu,ścieżki rowerowe,początkujący,słoneczna,30,Rower MTB MARIN San Quentin 2
mężczyzna,4000,dojazdy,codziennie,góry,średniozaawansowany,każda,10,Rower gravel SUPERIOR X-ROAD 6.2 GR
kobieta,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,5,Rower MTB KROSS Level 10.0
mężczyzna,10000,sport,raz w tygodniu,miasto,zaawansowany,deszczowa,20,Rower gravel KROSS Esker 6.0 GRX 2x12
kobieta,2000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,5,Rower gravel KROSS Esker 6.0 GRX 2x12
mężczyzna,7000,sport,codziennie,miasto,zaawansowany,dobra,20,Rower gravel KROSS Esker 6.0 GRX 2x12
kobieta,3000,rekreacja,codziennie,teren mieszany,początkujący,dobra,20,Rower MTB GIANT XTC Advanced 3
mężczyzna,1500,dojazdy,kilka razy w tygodniu,miasto,początkujący,deszczowa,20,Rower szosowy SUPERIOR X-ROAD 6.3 GF
mężczyzna,5000,sport,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,30,Rower gravel SUPERIOR X-ROAD Elite GR
kobieta,4000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,10,Rower gravel SUPERIOR X-ROAD Elite GR
mężczyzna,5000,dojazdy,codziennie,teren mieszany,zaawansowany,każda,20,Rower szosowy ORBEA Avant H30
mężczyzna,4000,rekreacja,codziennie,teren mieszany,zaawansowany,słoneczna,20,Rower gravel SENSA Romagna GRX 2x12
mężczyzna,1000,sport,raz w tygodniu,teren mieszany,średniozaawansowany,słoneczna,50,Rower MTB SENSA Fiori Evo Pro
kobieta,2000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,każda,5,Rower gravel KELLYS Soot 80
mężczyzna,5000,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,każda,20,Rower gravel SUPERIOR XR 6.3 GR
mężczyzna,10000,dojazdy,raz w tygodniu,góry,początkujący,słoneczna,20,Rower MTB R-RAYMON FullRay 120 4.0 SX
kobieta,2000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,5,Rower szosowy ORBEA Avant H60
mężczyzna,5000,rekreacja,kilka razy w tygodniu,teren mieszany,początkujący,każda,20,Rower gravel RONDO Mutt ST
kobieta,2000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,50,Rower gravel KROSS Esker 7.0 Rival
kobieta,1500,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,30,Rower gravel KROSS Esker 7.0
kobieta,4000,turystyka,codziennie,teren mieszany,zaawansowany,dobra,50,Rower gravel RONDO Ruut AL1 2x G3
kobieta,1000,dojazdy,kilka razy w tygodniu,miasto,początkujący,dobra,20,Rower MTB NS BIKES Eccentric Cromo 29
kobieta,1500,sport,codziennie,góry,średniozaawansowany,deszczowa,10,Rower gravel KROSS Path 5.0
kobieta,2000,dojazdy,codziennie,ścieżki rowerowe,początkujący,deszczowa,30,Rower gravel KROSS Esker 7.0
mężczyzna,1500,turystyka,raz w tygodniu,teren mieszany,zaawansowany,deszczowa,30,Rower MTB ORBEA Laufey H30
mężczyzna,5000,sport,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,20,Rower MTB SUPERIOR XF 919 RC
kobieta,2000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,10,Rower MTB GHOST Riot Trail AL
mężczyzna,1000,dojazdy,kilka razy w tygodniu,miasto,początkujący,deszczowa,10,Rower MTB GHOST Riot Trail AL Full Party
kobieta,2000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,każda,50,Rower gravel RONDO Ruut AL1 2x G3
kobieta,2000,rekreacja,raz w tygodniu,miasto,początkujący,każda,50,Rower MTB R-RAYMON Yara 120
kobieta,2000,rekreacja,raz w tygodniu,ścieżki rowerowe,początkujący,każda,30,Rower gravel SENSA Romagna SE GRX
kobieta,1000,rekreacja,raz w tygodniu,miasto,średniozaawansowany,dobra,50,Rower MTB GHOST Riot Enduro AL Essential
kobieta,4000,dojazdy,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,30,Rower MTB ORBEA Oiz H30
mężczyzna,4000,turystyka,raz w tygodniu,teren mieszany,początkujący,dobra,5,Rower MTB ORBEA Oiz H30
mężczyzna,10000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower gravel KELLYS Soot 90
kobieta,1500,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,30,Rower MTB GHOST Riot Trail Essential
mężczyzna,7000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,50,Rower szosowy ROMET Huragan Disc
kobieta,1000,dojazdy,codziennie,teren mieszany,średniozaawansowany,słoneczna,10,Rower szosowy ORBEA Avant H40
mężczyzna,7000,rekreacja,codziennie,teren mieszany,średniozaawansowany,deszczowa,20,Rower gravel SUPERIOR X-ROAD 6.5 GR
mężczyzna,1000,rekreacja,raz w tygodniu,teren mieszany,początkujący,słoneczna,20,Rower gravel ORBEA Terra H41 1X
kobieta,7000,rekreacja,kilka razy w tygodniu,góry,zaawansowany,dobra,50,Rower MTB GHOST Lector SF UC Advanced
kobieta,10000,turystyka,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,5,Rower MTB damski LIV Pique 2
kobieta,1000,rekreacja,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,50,Rower szosowy SENSA Giulia GF Comp
mężczyzna,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,deszczowa,10,Rower szosowy SENSA Giulia GF Pro
kobieta,1500,turystyka,codziennie,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower gravel ORBEA Terra H41 1X
kobieta,10000,turystyka,raz w tygodniu,miasto,zaawansowany,dobra,5,Rower szosowy SUPERIOR X-ROAD Team Elite SE
kobieta,4000,turystyka,codziennie,teren mieszany,początkujący,deszczowa,20,Rower gravel RONDO MYLC ST
mężczyzna,10000,dojazdy,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,20,Rower MTB MARIN San Quentin 3
kobieta,4000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,dobra,5,Rower gravel KROSS Esker 7.0 GRX 1x12
mężczyzna,4000,sport,codziennie,miasto,średniozaawansowany,każda,50,Rower MTB GHOST Riot AM Universal
mężczyzna,5000,turystyka,raz w tygodniu,góry,początkujący,słoneczna,10,Rower MTB GHOST Riot Trail AL Essential
mężczyzna,3000,rekreacja,raz w tygodniu,miasto,średniozaawansowany,dobra,50,Rower MTB SENSA Fiori Evo Elite
kobieta,5000,rekreacja,codziennie,góry,średniozaawansowany,dobra,20,Rower gravel KROSS Esker 7.0 GRX 1x12
kobieta,1000,rekreacja,codziennie,teren mieszany,zaawansowany,każda,30,Rower gravel KROSS Esker 8.0
kobieta,5000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,dobra,30,Rower gravel KROSS Esker 8.0
mężczyzna,4000,turystyka,kilka razy w tygodniu,miasto,początkujący,dobra,30,Rower MTB SUPERIOR XP 969
mężczyzna,10000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,30,Rower MTB SUPERIOR XP 969
kobieta,7000,sport,codziennie,ścieżki rowerowe,początkujący,deszczowa,10,Rower MTB SUPERIOR XP 969
mężczyzna,4000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,deszczowa,20,Rower gravel ORBEA Terra H30
kobieta,4000,turystyka,raz w tygodniu,miasto,średniozaawansowany,słoneczna,50,Rower szosowy SUPERIOR X-ROAD 6.5 GF
kobieta,1000,rekreacja,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,30,Rower gravel ORBEA Terra H40
mężczyzna,1000,turystyka,raz w tygodniu,góry,zaawansowany,każda,10,Rower MTB GHOST Riot AM AL Universal
mężczyzna,1000,sport,codziennie,ścieżki rowerowe,początkujący,każda,50,Rower MTB GHOST Riot AM AL Universal
mężczyzna,1500,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,każda,10,Rower gravel SUPERIOR X-ROAD Team Comp GR
kobieta,1000,turystyka,raz w tygodniu,góry,zaawansowany,deszczowa,30,Rower MTB ORBEA Oiz H20 
kobieta,4000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,30,Rower MTB GIANT XTC Advanced 1.5
kobieta,2000,rekreacja,codziennie,teren mieszany,średniozaawansowany,słoneczna,30,Rower szosowy SENSA Giulia GF Pro 105 (2x12)
mężczyzna,4000,rekreacja,kilka razy w tygodniu,miasto,początkujący,każda,10,Rower MTB GHOST Riot EN Pro
kobieta,1500,sport,raz w tygodniu,miasto,zaawansowany,deszczowa,30,Rower MTB ORBEA Oiz H20 
kobieta,2000,rekreacja,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,50,Rower MTB MARIN Alpine Trail 7
kobieta,10000,rekreacja,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,5,Rower MTB NS BIKES Define AL 130 2
mężczyzna,7000,rekreacja,kilka razy w tygodniu,góry,zaawansowany,dobra,50,Rower szosowy SENSA Giulia GF Ultegra
kobieta,2000,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,dobra,20,Rower MTB ORBEA Laufey H10
kobieta,1500,turystyka,codziennie,teren mieszany,średniozaawansowany,dobra,10,Rower MTB R-RAYMON FullRay 150 9.0 12S GX
kobieta,3000,dojazdy,raz w tygodniu,miasto,zaawansowany,dobra,50,Rower szosowy RIDLEY Noah Disc 105
mężczyzna,10000,turystyka,codziennie,miasto,średniozaawansowany,słoneczna,30,Rower szosowy KROSS Vento DSC 8.0 105 (2x11)
mężczyzna,2000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,5,Rower gravel RONDO Ruut CF2 G2
mężczyzna,3000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,dobra,5,Rower MTB NS BIKES Define AL 150 2
mężczyzna,1000,dojazdy,codziennie,miasto,zaawansowany,słoneczna,50,Rower MTB ORBEA Occam H20 LT
kobieta,2000,rekreacja,raz w tygodniu,miasto,początkujący,deszczowa,20,Rower szosowy SUPERIOR XR 6.5 GF
mężczyzna,3000,sport,codziennie,góry,średniozaawansowany,dobra,50,Rower szosowy ORBEA Avant H30
kobieta,10000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,5,Rower szosowy ORBEA Orca M35
mężczyzna,7000,sport,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,5,Rower szosowy SUPERIOR X-ROAD Team Issue SE
mężczyzna,4000,sport,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,10,Rower szosowy SUPERIOR X-ROAD Team Issue SE
mężczyzna,5000,sport,raz w tygodniu,góry,początkujący,deszczowa,10,Rower MTB ORBEA Oiz H10
mężczyzna,1500,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,10,Rower gravel SENSA Giulia Pro GRX
